,url,description,title,label
0,https://unt.edu,"UNT is a student-focused, public, research university located in Denton, Texas. As one of Texas' largest universities, we offer 113 bachelor's, 94 master's and 37 doctoral degree programs within the university's 14 colleges and schools.",University of North Texas,aman
1,https://discovermagazine.com,"Discover satisfies everyday curiosity with relevant and approachable science news, feature articles, photos and more.",Discover Magazine,aman
2,https://caranddriver.com,"Covering the automotive industry since 1955 with in-depth reviews and analysis, features, auto show reporting, and advice for car owners and buyers.","Car and Driver: New Car Reviews, Buying Advice and News",aman
3,https://allstate.com,"Get auto insurance quotes at Allstate.com. You're In Good Hands With Allstate. Allstate also offers insurance for your home, motorcycle, RV, as well as financial products such as permanent and term life insurance.",Allstate Insurance Company | You're in good hands,aman
4,https://oregonstate.edu,Oregon State University continues to advance its 150-year mission to provide access to a high-quality education as Oregon's largest and only statewide public research university.,Oregon State University,aman
5,https://usingenglish.com,"Resources to learn the English language for ESL, EFL, ESOL, and EAP students and teachers. Browse our Glossary of Terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful links and information on English here.",UsingEnglish.com: English Language (ESL) Learning Online,aman
6,https://physicsforums.com,Join the top physics and STEM forum community. Find experts debating the latest physics research. Request homework help for all sciences and math.,"Physics Forums | Science Articles, Homework Help, Discussion",aman
7,https://crucial.com,"Find compatible DRAM memory and SSD upgrades for your PC or Laptop with our Crucial Advisor tool or Crucial System Scanner, with FREE US delivery!","Crucial US | DRAM, Solid State Drive (SSD) & Memory Upgrades",aman
8,https://turnitin.com,"Turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.","Empower Students to Do Their Best, Original Work | Turnitin",aman
9,https://redmondpie.com,"Covering Microsoft, Apple, Google, Tesla and the web!",Redmond Pie,aman
10,https://easybib.com,"Automatic works cited and bibliography formatting for MLA, APA and Chicago/Turabian citation styles. Now supports 7th edition of MLA.","EasyBib®: Free Bibliography Generator - MLA, APA, Chicago citation styles",aman
11,https://redorbit.com,"The latest in science, space, health, and technology",Home - Redorbit,aman
12,https://modmyi.com,Tear down the walls,ModMy | Tear down the walls,aman
13,https://manchester.ac.uk,"Part of the prestigious Russell Group of universities, The University of Manchester is the largest single-site university in the UK, with the biggest student community.",The University of Manchester,aman
14,https://idownloadblog.com,"The best Apple blog providing news, reviews, tutorials, and jailbreak info, about everything iPhone, iPad, Apple Watch, Apple TV, Mac and iOS.",iDownloadBlog – Apple Blog: iPhone • Watch • iOS • Mac,aman
15,https://infoworld.com,"Business technology, IT news, product reviews and enterprise IT strategies.",InfoWorld - Technology insight for the enterprise,aman
16,https://wolfram.com,"Wolfram, creators of the Wolfram Language, Wolfram|Alpha, Mathematica, Development Platform, Data Science Platform, Finance Platform, SystemModeler...",Wolfram: Computation Meets Knowledge,aman
17,https://unc.edu,"The University of North Carolina at Chapel Hill, the nation’s first public university, is a global higher education leader known for innovative teaching, research and public service. A member of the prestigious Association of American Universities, Carolina regularly ranks as the best value for academic quality in U.S. public higher education.",The University of North Carolina at Chapel Hill,aman
18,https://gottabemobile.com,"We help millions of people get the most out of their devices and decide which ones are worth buying. We cover iPhone, Android, Macs, PCs, Amazon and more!","Gotta Be Mobile: Mobile Tech News, Reviews and Advice",aman
