,url,description,title,label,description_p4,title_p4,desc_p,title_p
105,https://sciencemag.org,"Science/AAAS peer-reviewed journals deliver impactful research, daily news, expert commentary, and career resources.",Science | AAAS,aman,"['science aaas', 'peer', 'review', 'journal', 'deliver', 'impactful', 'research', 'daily', 'news', 'expert', 'commentary', 'career', 'resource']","['science', 'aaa']",science aaas peer review journal deliver impactful research daily news expert commentary career resource,science aaa
106,https://topspeed.com,"Topspeed offers daily industry news and reviews on cars, trucks, motorcycles, boats and airplanes.","Car News And Reviews, Videos, Wallpapers, Pictures, Free Online Games And More | Top Speed",aman,"['topspeed', 'offer', 'daily', 'industry', 'news', 'review', 'car', 'truck', 'motorcycle', 'boat', 'airplane']","['car', 'news', 'review', 'video', 'wallpaper', 'picture', 'free', 'online', 'game', 'top', 'speed']",topspeed offer daily industry news review car truck motorcycle boat airplane,car news review video wallpaper picture free online game top speed
107,https://pistonheads.com,"The UK's biggest motoring forum, plus the best selection of cars for sale with car news and features. PistonHeads is where speed matters.",PistonHeads UK | Cars for Sale | Car News | Motoring Forum,aman,"['uk', 'big', 'motor', 'forum', 'plus', 'best', 'selection', 'car', 'sale', 'car', 'news', 'feature', 'pistonheads', 'speed', 'matter']","['pistonheads', 'uk', 'car', 'sale', 'car', 'news', 'motor', 'forum']",uk big motor forum plus best selection car sale car news feature pistonheads speed matter,pistonheads uk car sale car news motor forum
108,https://dmv.org,"DMV.ORG makes understanding the Department of Motor Vehicles simple. Get quick access to DMV locations & hours, appointments, renewals, forms, practice tests & more.",The DMV Made Simple - DMV.ORG,aman,"['dmvorg', 'make', 'understand', 'department', 'motor', 'vehicle', 'simple', 'get', 'quick', 'access', 'dmv', 'location', 'hour', 'appointment', 'renewal', 'form', 'practice', 'test']","['dmv', 'make', 'simple', 'dmvorg']",dmvorg make understand department motor vehicle simple get quick access dmv location hour appointment renewal form practice test,dmv make simple dmvorg
109,https://osu.edu,"Discover Ohio State, the highest ranked public university in Ohio, is home to the Wexner Medical Center and world-class graduate and undergraduate programs.",The Ohio State University,aman,"['discover', 'ohio', 'state', 'high', 'ranked', 'public', 'university', 'ohio', 'home', 'wexner', 'medical', 'center', 'world', 'class', 'graduate', 'undergraduate', 'program']","['ohio', 'state', 'university']",discover ohio state high ranked public university ohio home wexner medical center world class graduate undergraduate program,ohio state university
110,https://netgear.com,"At NETGEAR we turn ideas into innovative networking products that connect people, power businesses & advance the way we live. Easy to use. Powerful. Smart.",NETGEAR: Networking Products Made For You,aman,"['netgear', 'turn', 'idea', 'innovative', 'networking', 'product', 'connect', 'people', 'power', 'business', 'advance', 'way', 'live', 'easy', 'use', 'powerful', 'smart']","['netgear', 'networking', 'product', 'make']",netgear turn idea innovative networking product connect people power business advance way live easy use powerful smart,netgear networking product make
111,https://jhu.edu,"Johns Hopkins, founded in 1876, is America's first research university and home to nine world-class academic divisions working together as one university",Home | Johns Hopkins University,aman,"['john', 'hopkins', 'found', 'america', 'first', 'research', 'university', 'home', 'nine', 'world', 'class', 'academic', 'division', 'work', 'together', 'one', 'university']","['home', 'john', 'hopkins', 'university']",john hopkins found america first research university home nine world class academic division work together one university,home john hopkins university
112,https://ford.com,"Ford® is Built for America. Discover the latest lineup in new Ford vehicles! Explore hybrid & electric vehicle options, see photos, build & price, search inventory, view pricing & incentives & see the latest technology & news happening at Ford.","Ford® - New Hybrid & Electric Vehicles, SUVs, Crossovers, Trucks, Vans & Cars",aman,"['ford', 'built', 'america', 'discover', 'late', 'lineup', 'new', 'ford', 'vehicle', 'explore', 'hybrid', 'electric', 'vehicle', 'option', 'see', 'photo', 'build', 'price', 'search', 'inventory', 'view', 'pricing', 'incentive', 'see', 'late', 'technology', 'news', 'happen', 'ford']","['ford', 'new', 'hybrid', 'electric', 'vehicle', 'suv', 'crossover', 'truck', 'van', 'car']",ford built america discover late lineup new ford vehicle explore hybrid electric vehicle option see photo build price search inventory view pricing incentive see late technology news happen ford,ford new hybrid electric vehicle suv crossover truck van car
113,https://techpowerup.com,"Leading tech publication, with fast news, thorough reviews, and a strong community.",TechPowerUp,aman,"['lead', 'tech', 'publication', 'fast', 'news', 'thorough', 'review', 'strong', 'community']",['techpowerup'],lead tech publication fast news thorough review strong community,techpowerup
114,https://autosport.com,"Daily Formula 1 and motorsport news from the leading weekly motor racing magazine. The authority on Formula One, F1, MotoGP, WRC, IndyCar, F2, WEC, Le Mans, NASCAR and more","Autosport - Formula 1, MotoGP and motorsport news & standings",aman,"['daily', 'formula', 'motorsport', 'news', 'lead', 'weekly', 'motor', 'race', 'magazine', 'authority', 'formula', 'one', 'f', 'motogp', 'wrc', 'indycar', 'f', 'wec', 'le', 'man', 'nascar']","['autosport', 'formula', 'motogp', 'motorsport', 'news', 'standing']",daily formula motorsport news lead weekly motor race magazine authority formula one f motogp wrc indycar f wec le man nascar,autosport formula motogp motorsport news standing
