,url,description,title,label,description_p4,title_p4,desc_p,title_p
0,https://unt.edu,"UNT is a student-focused, public, research university located in Denton, Texas. As one of Texas' largest universities, we offer 113 bachelor's, 94 master's and 37 doctoral degree programs within the university's 14 colleges and schools.",University of North Texas,aman,"['unt', 'student', 'focus', 'public', 'research', 'university', 'locate', 'denton', 'texas', 'one', 'texas', '', 'large', 'university', 'offer', 'bachelor', 'master', 'doctoral', 'degree', 'program', 'within', 'university', 'college', 'school']","['university', 'north', 'texas']",unt student focus public research university locate denton texas one texas  large university offer bachelor master doctoral degree program within university college school,university north texas
1,https://discovermagazine.com,"Discover satisfies everyday curiosity with relevant and approachable science news, feature articles, photos and more.",Discover Magazine,aman,"['discover', 'satisfies', 'everyday', 'curiosity', 'relevant', 'approachable', 'science', 'news', 'feature', 'article', 'photo']","['discover', 'magazine']",discover satisfies everyday curiosity relevant approachable science news feature article photo,discover magazine
2,https://caranddriver.com,"Covering the automotive industry since 1955 with in-depth reviews and analysis, features, auto show reporting, and advice for car owners and buyers.","Car and Driver: New Car Reviews, Buying Advice and News",aman,"['cover', 'automotive', 'industry', 'since', 'depth', 'review', 'analysis', 'feature', 'auto', 'show', 'reporting', 'advice', 'car', 'owner', 'buyer']","['car', 'driver', 'new', 'car', 'review', 'buying', 'advice', 'news']",cover automotive industry since depth review analysis feature auto show reporting advice car owner buyer,car driver new car review buying advice news
3,https://allstate.com,"Get auto insurance quotes at Allstate.com. You're In Good Hands With Allstate. Allstate also offers insurance for your home, motorcycle, RV, as well as financial products such as permanent and term life insurance.",Allstate Insurance Company | You're in good hands,aman,"['get', 'auto', 'insurance', 'quote', 'allstatecom', 'good', 'hand', 'allstate', 'allstate', 'also', 'offer', 'insurance', 'home', 'motorcycle', 'rv', 'well', 'financial', 'product', 'permanent', 'term', 'life', 'insurance']","['allstate', 'insurance', 'company', 'good', 'hand']",get auto insurance quote allstatecom good hand allstate allstate also offer insurance home motorcycle rv well financial product permanent term life insurance,allstate insurance company good hand
4,https://oregonstate.edu,Oregon State University continues to advance its 150-year mission to provide access to a high-quality education as Oregon's largest and only statewide public research university.,Oregon State University,aman,"['oregon', 'state', 'university', 'continue', 'advance', 'year', 'mission', 'provide', 'access', 'high', 'quality', 'education', 'oregon', 'large', 'statewide', 'public', 'research', 'university']","['oregon', 'state', 'university']",oregon state university continue advance year mission provide access high quality education oregon large statewide public research university,oregon state university
5,https://usingenglish.com,"Resources to learn the English language for ESL, EFL, ESOL, and EAP students and teachers. Browse our Glossary of Terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful links and information on English here.",UsingEnglish.com: English Language (ESL) Learning Online,aman,"['resource', 'learn', 'english', 'language', 'esl', 'efl', 'esol', 'eap', 'student', 'teacher', 'browse', 'glossary', 'term', 'join', 'busy', 'forum', 'download', 'free', 'language', 'software', 'read', 'article', 'teacher', 'handout', 'find', 'useful', 'link', 'information', 'english']","['usingenglishcom', 'english', 'language', 'esl', 'learn', 'online']",resource learn english language esl efl esol eap student teacher browse glossary term join busy forum download free language software read article teacher handout find useful link information english,usingenglishcom english language esl learn online
6,https://physicsforums.com,Join the top physics and STEM forum community. Find experts debating the latest physics research. Request homework help for all sciences and math.,"Physics Forums | Science Articles, Homework Help, Discussion",aman,"['join', 'top', 'physic', 'stem', 'forum', 'community', 'find', 'expert', 'debate', 'late', 'physic', 'research', 'request', 'homework', 'help', 'science', 'math']","['physic', 'forum', 'science', 'article', 'homework', 'help', 'discussion']",join top physic stem forum community find expert debate late physic research request homework help science math,physic forum science article homework help discussion
7,https://crucial.com,"Find compatible DRAM memory and SSD upgrades for your PC or Laptop with our Crucial Advisor tool or Crucial System Scanner, with FREE US delivery!","Crucial US | DRAM, Solid State Drive (SSD) & Memory Upgrades",aman,"['find', 'compatible', 'dram', 'memory', 'ssd', 'upgrade', 'pc', 'laptop', 'crucial', 'advisor', 'tool', 'crucial', 'system', 'scanner', 'free', 'u', 'delivery']","['crucial', 'u', 'dram', 'solid', 'state', 'drive', 'ssd', 'memory', 'upgrade']",find compatible dram memory ssd upgrade pc laptop crucial advisor tool crucial system scanner free u delivery,crucial u dram solid state drive ssd memory upgrade
8,https://turnitin.com,"Turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.","Empower Students to Do Their Best, Original Work | Turnitin",aman,"['turnitin', 'solution', 'promote', 'academic', 'integrity', 'streamline', 'grade', 'feedback', 'deter', 'plagiarism', 'improve', 'student', 'outcome']","['empower', 'student', 'best', 'original', 'work', 'turnitin']",turnitin solution promote academic integrity streamline grade feedback deter plagiarism improve student outcome,empower student best original work turnitin
9,https://redmondpie.com,"Covering Microsoft, Apple, Google, Tesla and the web!",Redmond Pie,aman,"['cover', 'microsoft', 'apple', 'google', 'tesla', 'web']","['redmond', 'pie']",cover microsoft apple google tesla web,redmond pie
