url,description,title,label
https://unt.edu,"['unt', 'student', 'focus', 'public', 'research', 'university', 'locate', 'denton', 'texas', 'one', 'texas', '', 'large', 'university', 'offer', 'bachelor', 'master', 'doctoral', 'degree', 'program', 'within', 'university', 'college', 'school']","['university', 'north', 'texas']",aman
https://discovermagazine.com,"['discover', 'satisfies', 'everyday', 'curiosity', 'relevant', 'approachable', 'science', 'news', 'feature', 'article', 'photo']","['discover', 'magazine']",aman
https://caranddriver.com,"['cover', 'automotive', 'industry', 'since', 'depth', 'review', 'analysis', 'feature', 'auto', 'show', 'reporting', 'advice', 'car', 'owner', 'buyer']","['car', 'driver', 'new', 'car', 'review', 'buying', 'advice', 'news']",aman
https://allstate.com,"['get', 'auto', 'insurance', 'quote', 'allstatecom', 'good', 'hand', 'allstate', 'allstate', 'also', 'offer', 'insurance', 'home', 'motorcycle', 'rv', 'well', 'financial', 'product', 'permanent', 'term', 'life', 'insurance']","['allstate', 'insurance', 'company', 'good', 'hand']",aman
https://oregonstate.edu,"['oregon', 'state', 'university', 'continue', 'advance', 'year', 'mission', 'provide', 'access', 'high', 'quality', 'education', 'oregon', 'large', 'statewide', 'public', 'research', 'university']","['oregon', 'state', 'university']",aman
https://usingenglish.com,"['resource', 'learn', 'english', 'language', 'esl', 'efl', 'esol', 'eap', 'student', 'teacher', 'browse', 'glossary', 'term', 'join', 'busy', 'forum', 'download', 'free', 'language', 'software', 'read', 'article', 'teacher', 'handout', 'find', 'useful', 'link', 'information', 'english']","['usingenglishcom', 'english', 'language', 'esl', 'learn', 'online']",aman
https://physicsforums.com,"['join', 'top', 'physic', 'stem', 'forum', 'community', 'find', 'expert', 'debate', 'late', 'physic', 'research', 'request', 'homework', 'help', 'science', 'math']","['physic', 'forum', 'science', 'article', 'homework', 'help', 'discussion']",aman
https://crucial.com,"['find', 'compatible', 'dram', 'memory', 'ssd', 'upgrade', 'pc', 'laptop', 'crucial', 'advisor', 'tool', 'crucial', 'system', 'scanner', 'free', 'u', 'delivery']","['crucial', 'u', 'dram', 'solid', 'state', 'drive', 'ssd', 'memory', 'upgrade']",aman
https://turnitin.com,"['turnitin', 'solution', 'promote', 'academic', 'integrity', 'streamline', 'grade', 'feedback', 'deter', 'plagiarism', 'improve', 'student', 'outcome']","['empower', 'student', 'best', 'original', 'work', 'turnitin']",aman
https://redmondpie.com,"['cover', 'microsoft', 'apple', 'google', 'tesla', 'web']","['redmond', 'pie']",aman
https://easybib.com,"['automatic', 'work', 'cite', 'bibliography', 'format', 'mla', 'chicago turabian', 'citation', 'style', 'support', 'th', 'edition', 'mla']","['easybib', 'free', 'bibliography', 'generator', 'mla', 'chicago', 'citation', 'style']",aman
https://redorbit.com,"['late', 'science', 'space', 'health', 'technology']","['home', 'redorbit']",aman
https://modmyi.com,"['tear', 'wall']","['modmy', 'tear', 'wall']",aman
